dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
27.0	2017-01-01	1212E	ASTURIAS AEROPUERTO	0.0	1013.3	1000.5	ASTURIAS	10.3	6.8	12.2	7.0	1.7	2.8
25.0	2017-01-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1025.9	1019.1	ALICANTE	6.7		17.0	11.7	6.4	2.5
99.0	2017-01-01	5783	SEVILLA AEROPUERTO	0.0	1025.2	1017.5	SEVILLA	6.7	9.1	15.5	9.7	3.9	1.4
20.0	2017-01-02	1212E	ASTURIAS AEROPUERTO	0.0	1006.0	1000.0	ASTURIAS	8.9	4.8	14.1	9.6	5.0	3.6
99.0	2017-01-02	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.3	1017.8	ALICANTE	4.7		17.2	11.9	6.6	1.9
99.0	2017-01-02	5783	SEVILLA AEROPUERTO	0.0	1018.9	1014.8	SEVILLA	5.8	8.5	18.6	12.4	6.1	3.3
99.0	2017-01-03	1212E	ASTURIAS AEROPUERTO	0.0	1011.9	1005.3	ASTURIAS	8.9	4.6	12.2	8.2	4.3	3.6
30.0	2017-01-03	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.3	1017.9	ALICANTE	12.8		20.7	13.2	5.8	3.3
7.0	2017-01-03	5783	SEVILLA AEROPUERTO	0.0	1024.2	1018.7	SEVILLA	7.8	4.9	18.0	12.8	7.6	2.8
99.0	2017-01-04	1212E	ASTURIAS AEROPUERTO	0.0	1012.8	1011.1	ASTURIAS	5.0	0.3	14.7	10.4	6.1	1.4
30.0	2017-01-04	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.5	1018.0	ALICANTE	16.1		19.5	16.4	13.3	6.4
3.0	2017-01-04	5783	SEVILLA AEROPUERTO	0.0	1025.4	1021.9	SEVILLA	4.7	8.5	19.3	12.8	6.2	0.6
11.0	2017-01-05	1212E	ASTURIAS AEROPUERTO	0.0	1014.4	1012.2	ASTURIAS	9.2	7.1	13.3	8.2	3.1	4.7
99.0	2017-01-05	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.2	1016.6	ALICANTE	13.3		21.2	15.2	9.1	3.6
7.0	2017-01-05	5783	SEVILLA AEROPUERTO	0.0	1022.7	1019.5	SEVILLA	7.2	9.0	17.9	12.3	6.7	1.7
99.0	2017-01-06	1212E	ASTURIAS AEROPUERTO	0.0	1016.6	1014.1	ASTURIAS	9.7	8.6	10.5	5.6	0.8	3.6
16.0	2017-01-06	8019	ALICANTE-ELCHE AEROPUERTO		1026.4	1022.1	ALICANTE	4.7		17.9	13.2	8.5	1.4
5.0	2017-01-06	5783	SEVILLA AEROPUERTO	0.0	1023.9	1020.3	SEVILLA	6.1	9.2	18.0	12.2	6.5	2.5
10.0	2017-01-07	1212E	ASTURIAS AEROPUERTO	0.0	1017.4	1015.8	ASTURIAS	8.9	8.7	10.8	5.0	-0.9	3.3
99.0	2017-01-07	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1027.4	1024.8	ALICANTE	6.7		17.2	11.6	6.1	2.8
7.0	2017-01-07	5783	SEVILLA AEROPUERTO	0.0	1026.0	1023.2	SEVILLA	8.9	9.1	17.0	11.5	6.0	3.1
21.0	2017-01-08	1212E	ASTURIAS AEROPUERTO	0.0	1017.7	1015.6	ASTURIAS	7.8	8.7	12.5	6.4	0.3	3.6
